positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
EPSRC DTP Studentship - Physics-enhanced machine learning strategies for applied mechanics,,University of Cambridge,4.2,183.0,
Data Scientist,,Holland & Barrett,2.8,1067.0,"Permanent, Full-time"
AI Specialist,,Robert Walters,3.7,131.0,
Training Specialist - Machine Learning,,ECMWF,,,
Principal/Senior Statistical Programmer (Permanent Homebased / Remote),,Novasyte,,,Full-time
Principal Software Engineer in Machine Learning Tools,,Arm,4.2,79.0,
Senior Manager of Machine Learning-Segment Marketing,,Arm,4.2,79.0,
Advanced Analytics Specialist,,Intel Corporation,4.1,6233.0,Full-time
"Part Qualified Patent Attorney, I.T. (AI and Machine Learning), Electronics and Engineering",,Fellows and Associates,,,
Postdoctoral Research Associate in Deep Learning,,MathHire.org,,,Fixed term contract
Head of Data Science,"£130,000 - £140,000 a year",Harnham,4.6,9.0,Permanent
Web Analytics Manager,"£68,000 a year",Orchard Agency,3.0,2.0,
Machine Learning Engineer,,Brit Group Services,,,Permanent
"Advisor, Data Science Management Consultant",,GHD,3.5,266.0,
Manager of Data Science,,CME Group,4.0,266.0,
Analytics Manager,,Digitas UK,,,Permanent
Senior Azure AI Consultant,"£65,000 - £75,000 a year",ShareForce,,,Full-time
Architect - Machine Learning,,Smarsh,3.2,36.0,Full-time
Credit Risk Data Scientist,"£50,000 - £65,000 a year",Harnham,4.6,9.0,Permanent
Research Fellow in the Application of Machine Learning to Optimising Brain Simulations,"£37,099 - £44,263 a year",University of Leeds,4.2,271.0,"Full-time, Fixed term contract"
Research Fellow / Senior Research Fellow in Artificial Intelligence for Healthcare (Tumour classification using Feature Fusion AI),"£42,099 - £50,585 a year",UCL,4.1,256.0,"Permanent, Full-time"
"Analyst / Sr Analyst, Trading Operations & Analytics",,OVO Energy,3.4,124.0,Full-time
Senior Data Scientist (Battery Science),"£80,000 - £90,000 a year",Harnham,4.6,9.0,Permanent
Head of Analytics,"£100,000 - £150,000 a year",Hasson Associates,,,"Permanent, Full-time"
"Senior Consultant, Consultant, AI & Data, ConvergeCONSUMER Role, SAMA",,Deloitte,3.9,12733.0,
Cross Asset Data Scientist / NY / London/ Asia,,Eka Finance,,,Full-time
USAFRICOM J2 Lead Data Scientist (Intelligence Center),,MITRE,3.9,283.0,Full-time
Data Science and Analytics Lead,"£100,000 - £115,000 a year",Harnham,4.6,9.0,Permanent
"Director, Data Science- Product Analytics",,Expedia Group,3.9,1135.0,Full-time
Analytics Developer (Supply Chain Analytics) 12 Month – Fixed Term Contract,,Mattel,3.9,1003.0,Permanent
Machine Learning Engineer,,Holland & Barrett,2.8,1067.0,"Permanent, Full-time"
Senior Researcher – Machine Learning for Cloud Technology Research,,Microsoft,4.2,8318.0,Full-time
"Executive, Junior Manager, Data Analytics - Valuations Modelling and Economics - London",,EY,3.9,9629.0,
Machine Learning Developer,"£40,000 - £55,000 a year",ECM Selection,,,
Research Associate/Assistant – Developing AI-Driven Models,"£40,694 - £45,593 a year",Imperial College London,4.2,214.0,"Permanent, Full-time"
"AI/Data Science, Senior/Manager, Data & Analytics, Assurance, Belfast",,EY,3.9,9629.0,
Big Data Engineer,"£29,000 - £35,000 a year",Information Tech Consultants,1.5,2.0,Full-time
Senior Statistician,,Smith & Nephew,3.7,1073.0,Full-time
Staff Machine Learning Engineer,,Lokalise,,,
Lead Data Scientist,"£90,000 a year",Metrica Recruitment,,,Full-time
Data Scientist,"£50,000 - £80,000 a year",Jam Management Consultancy Ltd,,,"Permanent, Full-time"
Machine Learning Researcher,,Secondmind,,,Full-time
"Manager, Performance Marketing - Analytics",,Expedia Group,3.9,1135.0,Full-time
Faculty Fellowship - Data Science & Data Engineering (May 2024),,Faculty,,,Full-time
Data Scientist,,Checkatrade,3.4,60.0,Permanent
Data Scientist (Machine Learning Specialist),,The Telegraph,3.4,34.0,Full-time
Head of Data Science,,Policy Expert,4.3,58.0,
Senior Data Scientist,"£55,000 - £65,000 a year",Saga,3.4,160.0,Full-time
Research Fellow in Corporate Risk and Machine Learning,,University of Edinburgh,4.1,252.0,Full-time
Junior Data Scientist - Large Language Model prompt refinement assistant,"£35,000 - £50,000 a year",Twyn,,,Full-time
Research Fellow in Sustainable Analytics,,University of Edinburgh,4.1,253.0,Full-time
Senior Research Fellow (Data Science Lead: Mental Health Mission),"£62,696 - £71,857 a year",King's College London,4.0,195.0,"Part-time, Full-time, Fixed term contract"
Postdoctoral Research Scientist in Application of Machine Learning in Sepsis,"£36,024 - £40,521 a year",University of Oxford,4.3,168.0,"Full-time, Fixed term contract"
Machine Learning Engineer,,EDF Trading,3.9,2161.0,Full-time
Senior Data Scientist – Credit Risk,"£60,000 - £75,000 a year",Harnham,4.6,9.0,Permanent
Data Analytics Manager,,Creditsafe,3.4,35.0,
"Research Scientist, NLP (GenAI)",,Meta,4.1,746.0,
Data Operations Manager,,MMGY Global,3.6,14.0,Full-time
"Principal Industry Specialist - Data Science and GenAI, AWSI-M&E",,AWS EMEA SARL (UK Branch) - F93,3.5,46920.0,Full-time
Data Science Lead,,Roke Manor Research Limited,3.2,15.0,Permanent
Senior Data Scientist,"£50,000 - £80,000 a year",Jam Management Consultancy Ltd,,,"Permanent, Graduate, Full-time"
Statistician,"From £30,317 a year",Office for National Statistics,4.2,223.0,"Permanent, Part-time, Full-time"
Junior Data Scientist( Database Developer),"£30,269 - £33,062 a year",SLA It solutions Limited,,,"Permanent, Full-time"
AI Solution Manager,,C3 AI,2.7,3.0,
Machine Learning DevOps,,Spier Consulting,,,
Digital Analytics Consultant,"£55,000 - £65,000 a year",Harnham,4.6,9.0,Permanent
Data Scientist,"£40,000 - £55,000 a year",Twenty First Group,,,Full-time
"Research Scientist Intern, Generative AI Trust and Safety (PhD)",,Meta,4.1,746.0,Internship
Data Scientist,"£55,000 - £70,000 a year",F5,4.0,8.0,"Permanent, Full-time"
Machine Learning Engineer (Europe and UK),,Roofr,,,
Principal Data Scientist,,QinetiQ,3.7,384.0,"Permanent, Full-time"
Data Scientist (Consultant),"£45,000 - £60,000 a year",Daintta,,,Full-time
Data Scientist - Principal (London / Barcelona),,Nauta Capital,,,
Digital Analytics Consultant,"£55,000 - £65,000 a year",Harnham,4.6,9.0,Permanent
Senior AI/ML Engineer,,GSK,4.1,5200.0,
"Solution Architect, Financial Services",,NVIDIA,4.2,285.0,Full-time
Lecturer/Senior Lecturer in Applied Data Science,"£38,205 - £56,021 a year",Harper Adams University,3.8,20.0,Full-time
